Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
86	-51.310383	5.0540633	-47.43323	-60.00174	-6.316881	0.045069445	-6.270709	-6.399148	1000.0	1000.0	343999	45.582996	12.403102	80.21266	-116.94513	45.582893	12.403306	80.33474	-115.467064	-2.5642707	0.9302763	20.389624	-8.644137	-46.121048	0.5726017	6303.20260477066
87	-46.923546	1.27802	-46.001316	-49.12574	-6.0084434	0.05672495	-5.8980536	-6.122555	1000.0	1000.0	347999	45.639164	12.335337	76.482254	-136.98134	45.63924	12.335238	78.44097	-140.10783	-2.5722282	0.90002966	22.207527	-8.58074	-46.175102	0.53681165	6403.079551696777
88	-45.67233	2.1436245	-42.081223	-47.319622	-4.767251	0.11767039	-4.6589246	-5.106975	1000.0	1000.0	351999	45.69098	12.161886	73.96658	-163.86319	45.691204	12.161188	73.969055	-156.36891	-2.572255	0.89342576	21.276592	-9.431125	-46.224464	0.5636712	6504.251899719238
89	-47.885963	1.3636122	-46.383774	-49.910965	-5.0802565	0.036916096	-5.033397	-5.174791	1000.0	1000.0	355999	45.73414	12.053223	71.48692	-138.99562	45.734295	12.052848	72.93042	-132.35617	-2.5695179	0.9088717	19.473412	-9.756163	-46.271286	0.5743108	6605.932045459747
90	-48.987465	1.9069229	-46.237064	-51.3559	-4.8634186	0.061562072	-4.726263	-4.958256	1000.0	1000.0	359999	45.801514	11.744571	66.78345	-147.10495	45.801666	11.742765	67.91685	-152.21762	-2.57181	0.9070716	27.20322	-9.47405	-46.339806	0.46905833	6705.968971967697
91	-67.83355	38.550198	-42.662792	-134.50972	-2.9776154	0.4730495	-2.1338801	-4.005923	984.75	1000.0	363999	45.72991	11.676952	61.566174	-155.5607	45.730225	11.674916	66.5362	-149.37965	-2.5759351	0.898337	23.15364	-9.353674	-46.2589	0.83006614	6807.839201927185
92	-47.789772	2.3658113	-45.837822	-51.66911	-4.8899164	0.69763696	-3.4583004	-5.2993193	1000.0	1000.0	367999	45.558777	12.3576975	54.148598	-131.29704	45.55896	12.356893	54.420887	-131.1998	-2.5760405	0.8675228	21.390787	-9.458487	-46.078472	0.5830277	6911.910043478012
93	-46.40813	1.1001356	-44.71962	-47.720264	-3.6290498	0.070019476	-3.548374	-3.7667015	1000.0	1000.0	371999	45.42233	12.761213	53.8027	-125.532875	45.42257	12.760412	54.44137	-121.82187	-2.5727847	0.8772882	25.141863	-8.89028	-45.947594	0.7313577	7015.51225066185
94	-46.386047	1.9932051	-42.935276	-47.595135	-3.9400985	0.5123419	-3.5470605	-5.1476817	1000.0	1000.0	375999	45.337303	12.764956	53.63357	-117.96306	45.33761	12.763202	53.463444	-118.51726	-2.5704916	0.8633144	23.871746	-9.96311	-45.854687	0.6610603	7119.842993021011
95	-47.751366	1.1266334	-46.306557	-48.988575	-5.7422285	0.5591216	-5.0113153	-6.424594	1000.0	1000.0	379999	45.284794	12.898482	53.610508	-120.13581	45.28505	12.896973	53.55381	-120.64504	-2.5689566	0.8684449	19.369585	-8.6348915	-45.806416	0.69537294	7224.135145902634
96	-65.76104	34.01494	-45.89404	-124.674736	-7.1659584	0.2673955	-6.6710887	-7.547117	956.25	1000.0	383999	45.28045	12.844805	53.63163	-108.837906	45.28053	12.845108	54.443924	-111.62489	-2.5720928	0.85462207	19.903456	-9.24517	-45.800564	0.63073534	7328.441413640976
97	-45.738228	0.30960572	-45.514812	-46.26495	-5.721055	0.062171765	-5.6313534	-5.8560076	1000.0	1000.0	387999	45.289196	12.836658	53.97174	-120.59076	45.28935	12.835365	54.286213	-116.19707	-2.5746505	0.85719955	17.953583	-10.016908	-45.81428	0.6979111	7430.918798923492
98	-48.00202	1.8622712	-45.906315	-50.712025	-5.425655	0.08177966	-5.308658	-5.592611	1000.0	1000.0	391999	45.36698	12.6666765	56.055607	-117.776535	45.3672	12.666515	54.143257	-111.39499	-2.5832324	0.85909855	25.033367	-8.712261	-45.89363	0.7035459	7535.31968832016
99	-46.544273	0.9706024	-45.06529	-47.673653	-6.1389933	0.043629795	-6.061031	-6.204491	1000.0	1000.0	395999	45.387566	12.624692	53.96685	-116.44832	45.38785	12.622147	53.643707	-117.662186	-2.5819185	0.8583921	24.714645	-8.34793	-45.91244	0.60683936	7639.045632839203
100	-49.21621	1.1935469	-47.790394	-51.094017	-1.8974937	0.7762138	-1.10052	-3.5413997	1000.0	1000.0	399999	45.485134	12.352465	54.185463	-123.52929	45.48522	12.351532	53.894615	-117.60965	-2.5791392	0.8857622	27.947071	-10.604079	-46.008892	0.5422078	7742.834587812424
