Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
21	-46.04518	1.2028399	-44.107174	-47.412037	-13.837543	0.64885765	-12.8171015	-14.354775	1000.0	1000.0	83999	41.99647	24.340397	55.946835	-123.34058	41.996723	24.33804	56.58315	-119.87392	-2.1281838	1.6749952	21.349743	-10.353769	-42.594917	1.987839	971.4980294704437
22	-48.33309	2.0583637	-46.242764	-51.60268	-10.151754	0.20193708	-9.763114	-10.389691	1000.0	1000.0	87999	41.565166	23.592964	54.777264	-113.562164	41.56513	23.590895	54.91703	-113.69952	-2.1443946	1.6774442	27.820522	-11.430509	-42.16302	1.8310876	1037.1583433151245
23	-45.49641	2.1108994	-42.067047	-47.815327	-11.343284	0.057410214	-11.263378	-11.4334755	1000.0	1000.0	91999	41.26257	23.278666	54.211998	-129.93884	41.262886	23.27734	54.39964	-120.96929	-2.1927433	1.5857275	22.445034	-10.029189	-41.84093	1.7371533	1105.3082919120789
24	-45.49189	2.466986	-41.938957	-48.80652	-10.592303	0.7377142	-9.670384	-11.604212	1000.0	1000.0	95999	40.891273	23.28862	53.647686	-118.34964	40.891758	23.286293	53.8271	-120.53079	-2.2067335	1.570549	24.114964	-10.197025	-41.481125	1.657791	1174.265916109085
25	-46.943497	0.9773831	-45.492466	-47.96476	-8.215298	0.43384022	-7.5108247	-8.650662	1000.0	1000.0	99999	40.796104	22.602064	53.505974	-120.42984	40.796577	22.600674	53.56262	-125.03407	-2.233363	1.5474522	21.28551	-11.423906	-41.381943	1.5759976	1244.5015041828156
26	-47.7054	1.1595446	-46.55918	-49.627277	-10.825229	0.107837774	-10.572492	-10.90788	1000.0	1000.0	103999	40.652954	22.365458	53.01656	-121.305725	40.65342	22.364595	53.365456	-119.3658	-2.2440286	1.538454	21.578194	-10.272906	-41.23182	1.5044043	1315.7587797641754
27	-47.610786	2.1934788	-44.357506	-50.535545	-9.51277	0.26138693	-8.963171	-9.864831	1000.0	1000.0	107999	40.72212	21.910055	52.599457	-132.34683	40.722435	21.908606	52.896915	-120.66795	-2.2772067	1.4739379	18.97584	-12.088153	-41.298084	1.3811646	1387.7410786151886
28	-47.38335	0.97769463	-46.12064	-48.863506	-8.896581	0.15145664	-8.621341	-9.081942	1000.0	1000.0	111999	40.861153	21.364393	52.981052	-124.61718	40.861095	21.363718	53.141384	-115.24269	-2.283745	1.4742564	22.528023	-10.635187	-41.444176	1.3698269	1460.2361192703247
29	-47.30961	1.1862522	-46.047398	-48.664967	-4.7333136	0.41497654	-4.034058	-5.319799	1000.0	1000.0	115999	41.01558	21.01833	52.489704	-122.39141	41.01575	21.016626	53.50729	-119.78556	-2.316092	1.400938	19.468538	-10.579578	-41.58363	1.2564118	1532.6554884910583
30	-44.489304	3.210974	-40.31332	-48.866604	-4.2689023	0.33395025	-3.6238024	-4.6712003	1000.0	1000.0	119999	41.20456	20.468298	52.48884	-133.19868	41.205063	20.46637	52.984837	-122.30773	-2.3215382	1.4191424	23.138107	-10.532673	-41.77806	1.255075	1605.193553686142
31	-46.82452	0.9206039	-45.881516	-48.34847	-8.398454	0.112430826	-8.225181	-8.535095	1000.0	1000.0	123999	41.305164	20.240831	52.783554	-121.34484	41.305622	20.240055	53.26961	-112.48937	-2.3456223	1.3470969	24.325642	-9.270483	-41.87008	1.181858	1678.4285843372345
32	-46.371506	1.4015214	-43.944157	-47.206528	-9.6964855	0.26274484	-9.4970045	-10.410966	1000.0	1000.0	127999	41.375744	19.96257	52.93875	-119.46515	41.376083	19.960693	52.758747	-114.50468	-2.3420846	1.3562435	19.751019	-9.428966	-41.944412	1.1363657	1751.6818919181824
33	-46.12818	1.9672632	-42.767117	-47.74578	-5.867234	0.4642216	-5.4028177	-6.6343307	1000.0	1000.0	131999	41.50809	19.673225	52.965702	-117.566154	41.50817	19.673552	53.056408	-112.28106	-2.3611286	1.3447953	20.316637	-13.30085	-42.075302	1.1137177	1825.3031084537506
34	-47.710747	2.2929142	-44.541008	-50.93198	-8.694986	0.05134449	-8.646357	-8.790719	1000.0	1000.0	135999	41.768784	19.087627	52.71644	-123.15999	41.769062	19.085821	52.592678	-132.92453	-2.3734288	1.3178265	21.764103	-9.730625	-42.336906	1.0499523	1899.1746201515198
35	-49.520233	2.091724	-46.120583	-51.82113	-8.316729	0.16565256	-8.178821	-8.7128315	1000.0	1000.0	139999	41.846546	19.128172	52.661568	-132.14316	41.846916	19.126743	52.302006	-111.51653	-2.384026	1.314474	20.698092	-9.573935	-42.408745	1.0613033	1973.7649416923523
36	-48.517815	0.744428	-47.545403	-49.552788	-9.679799	0.019410837	-9.648685	-9.715409	1000.0	1000.0	143999	42.044247	19.020847	52.692455	-114.8281	42.04466	19.019245	53.037308	-120.729904	-2.3955183	1.2995875	24.755428	-9.694343	-42.606556	1.0359275	2048.564603328705
37	-49.088287	2.024578	-46.967667	-52.40462	-8.114206	0.05171694	-7.98319	-8.176233	1000.0	1000.0	147999	42.169907	18.76177	52.72045	-114.72186	42.17043	18.759819	52.785725	-123.186676	-2.411018	1.2660277	23.511473	-9.932335	-42.735233	1.0442387	2123.873858690262
